path,has_target,pred_x,pred_y,target_x,target_y,err_px,err_km,tile_offset_x,tile_offset_y,pred_x_global,pred_y_global,pred_lat,pred_lon,target_x_global,target_y_global,target_lat,target_lon
10-11-2019_2100_213_0,1,209,139,210,142,3.414474144312464,14.237079155411132,213.0,0.0,422,139,40.15,6.36,423,142,40.02,6.41
11-11-2019_1300_213_0,1,201,187,196,189,5.209131550309909,17.497962513048996,213.0,0.0,414,187,38.21,6.17,409,189,38.14,6.0
17-09-2020_1200_639_0,1,138,212,128,209,10.76817084625997,32.62367940747895,639.0,0.0,777,212,37.32,19.03,767,209,37.43,18.69
18-09-2020_0400_639_0,1,188,193,184,194,3.9997998482413966,14.310532136543113,639.0,0.0,827,193,38.11,20.97,823,194,38.07,20.81
15-09-2020_0400_639_196,1,74,134,76,134,1.93778841587917,6.236271064155634,639.0,196.0,713,330,32.89,16.31,715,330,32.89,16.38
16-09-2020_1400_639_196,1,102,55,100,55,2.2194555710002706,6.295405703096194,639.0,196.0,741,251,35.81,17.56,739,251,35.8,17.49
17-09-2020_0600_639_196,1,110,18,110,19,1.116159663141011,4.335991227272048,639.0,196.0,749,214,37.23,18.02,749,215,37.19,18.01
17-09-2020_2200_639_196,1,166,4,165,6,2.587396289108527,9.841958255256634,639.0,196.0,805,200,37.82,20.11,804,202,37.74,20.07
14-12-2020_0200_852_196,1,74,43,76,45,2.7813911649879572,9.686816436646426,852.0,196.0,926,239,36.42,24.24,928,241,36.35,24.29
14-12-2020_1800_852_196,1,174,84,176,88,5.095575269793778,16.660745359907615,852.0,196.0,1026,280,34.99,27.53,1028,284,34.85,27.57
15-12-2020_0900_1065_196,1,96,119,94,117,2.901957698703733,9.22784208820066,1065.0,196.0,1161,315,33.9,32.21,1159,313,33.97,32.16
16-12-2020_0700_1065_196,1,161,111,158,106,6.02292136819185,20.713465977428225,1065.0,196.0,1226,307,34.31,34.84,1223,302,34.49,34.8
26-12-2020_0400_426_0,1,94,105,94,107,2.011921432690225,9.452767878199651,426.0,0.0,520,105,41.56,9.98,520,107,41.47,9.97
27-12-2020_0100_426_0,1,202,163,204,165,3.0526873892846274,10.590754392482872,426.0,0.0,628,163,39.18,13.87,630,165,39.1,13.93
29-10-2021_0400_639_196,1,65,42,63,44,3.0706943975438237,11.028634481267906,639.0,196.0,704,238,36.28,16.32,702,240,36.2,16.24
29-10-2021_2000_639_196,1,62,33,62,37,3.6820637926406836,17.062310860428205,639.0,196.0,701,229,36.62,16.25,701,233,36.47,16.23
08-11-2021_1900_426_0,1,15,184,11,181,4.606343564665377,18.507309815614494,426.0,0.0,441,184,38.33,7.13,437,181,38.45,6.99
28-02-2023_0200_213_0,1,173,144,172,144,0.7354033788786598,3.1352447746488,213.0,0.0,386,144,39.95,5.05,385,144,39.95,5.02
28-02-2023_1800_213_0,1,204,180,203,181,1.5417640223849585,5.282753738245737,213.0,0.0,417,180,38.49,6.27,416,181,38.45,6.23
01-03-2023_1000_426_0,1,106,158,102,162,6.090965735379462,22.000374817665282,426.0,0.0,532,158,39.36,10.39,528,162,39.2,10.25
02-03-2023_0200_426_0,1,125,131,122,131,3.0663844129538806,9.371686698848077,426.0,0.0,551,131,40.47,11.11,548,131,40.47,11.0
05-09-2023_1000_639_196,1,151,39,148,39,2.998023799031213,9.531995537305042,639.0,196.0,790,235,36.45,19.36,787,235,36.44,19.26
06-09-2023_0200_639_196,1,131,79,132,78,1.3049514370229391,5.519954780209126,639.0,196.0,770,275,34.93,18.46,771,274,34.96,18.5
06-09-2023_1800_639_196,1,108,85,104,84,4.577730141017017,12.782636294284718,639.0,196.0,747,281,34.69,17.64,743,280,34.72,17.51
07-09-2023_1900_639_196,1,149,91,148,92,1.6319556253013365,5.510480176215048,639.0,196.0,788,287,34.49,19.02,787,288,34.46,18.98
08-09-2023_1600_639_196,1,115,100,113,98,2.3430444312268524,9.729108739930393,639.0,196.0,754,296,34.14,17.82,752,294,34.21,17.76
09-09-2023_0800_639_196,1,134,128,131,126,3.536137680324532,11.65081946010085,639.0,196.0,773,324,33.14,18.35,770,322,33.21,18.25
10-09-2023_0000_639_196,1,185,149,186,148,1.056710720822133,5.4129011780500305,639.0,196.0,824,345,32.42,19.97,825,344,32.46,20.01
12-10-2010_2000_213_0,1,73,163,73,161,2.044103638759435,9.053244710356044,213.0,0.0,286,163,39.23,1.46,286,161,39.31,1.45
13-10-2010_1200_213_0,1,134,211,130,206,6.37782582624986,25.930271239910194,213.0,0.0,347,211,37.3,3.86,343,206,37.49,3.7
06-11-2011_1200_213_0,1,144,129,142,133,4.31972660681177,19.03857995539587,213.0,0.0,357,129,40.59,3.93,355,133,40.42,3.87
07-11-2011_0400_213_0,1,176,151,175,154,3.348402969727566,13.752942019619873,213.0,0.0,389,151,39.67,5.18,388,154,39.54,5.16
07-11-2011_2000_213_0,1,179,121,182,121,3.103612759142075,9.417860561890953,213.0,0.0,392,121,40.91,5.21,395,121,40.9,5.32
14-04-2012_0000_426_0,1,182,143,184,141,2.482133813611845,11.387527630155407,426.0,0.0,608,143,39.99,13.19,610,141,40.07,13.27
14-04-2012_1700_639_0,1,98,111,101,111,2.7473627686817874,9.572626585788427,639.0,0.0,737,111,41.4,18.16,740,111,41.4,18.27
19-11-2013_1300_426_0,1,15,147,12,151,4.580708333513511,20.11210294762454,426.0,0.0,441,147,39.81,7.08,438,151,39.65,6.97
20-11-2013_0500_426_0,1,213,70,212,75,5.103362272034709,25.042698958562532,426.0,0.0,639,70,43.11,14.6,638,75,42.89,14.54
08-11-2014_0200_639_0,1,40,217,38,218,1.6034094918647541,7.905492491480029,639.0,0.0,679,217,37.07,15.52,677,218,37.03,15.44
08-11-2014_0300_639_196,1,45,21,40,21,5.173969245214756,15.664123590806028,639.0,196.0,684,217,37.07,15.7,679,217,37.07,15.52
30-11-2014_1700_213_0,1,85,164,83,165,1.9554300354736451,7.322922291347405,213.0,0.0,298,164,39.18,1.9,296,165,39.15,1.83
01-12-2014_1500_213_0,1,168,158,166,158,2.0687338879576753,6.2663094868301945,213.0,0.0,381,158,39.38,4.91,379,158,39.39,4.84
02-12-2014_1900_426_0,1,111,140,112,139,1.3170864183244606,5.584897310777721,426.0,0.0,537,140,40.1,10.59,538,139,40.14,10.62
01-10-2015_0900_426_0,1,28,161,28,161,0.5505338618109765,0.0,426.0,0.0,454,161,39.24,7.57,454,161,39.24,7.57
29-02-2016_0500_426_0,1,47,102,50,100,3.2760445904368485,13.224358337296145,426.0,0.0,473,102,41.69,8.2,476,100,41.77,8.32
29-02-2016_2100_426_0,1,109,109,108,111,1.8521088404654333,9.971258941890682,426.0,0.0,535,109,41.39,10.54,534,111,41.3,10.5
28-10-2016_1200_639_196,1,86,33,87,35,1.7830754506628048,8.779290883952198,639.0,196.0,725,229,36.63,17.09,726,231,36.56,17.12
29-10-2016_0400_639_196,1,67,66,65,65,2.1468175952333226,7.183784861699597,639.0,196.0,706,262,35.37,16.3,704,261,35.41,16.24
29-10-2016_2000_639_196,1,65,63,67,65,2.8143462073133914,9.946525842999291,639.0,196.0,704,259,35.49,16.24,706,261,35.41,16.3
30-10-2016_1200_639_196,1,122,53,118,53,4.085256194596102,12.62940216877599,639.0,196.0,761,249,35.89,18.27,757,249,35.89,18.13
17-11-2017_0100_639_0,1,114,183,112,180,3.533887697144617,14.016258905982776,639.0,0.0,753,183,38.45,18.32,751,180,38.57,18.27
17-11-2017_1700_639_0,1,112,167,109,166,3.1365585410658587,9.979652741356043,639.0,0.0,751,167,39.09,18.34,748,166,39.13,18.24
18-11-2017_0900_639_0,1,122,167,123,165,2.366631227946682,10.01109289792808,639.0,0.0,761,167,39.1,18.71,762,165,39.18,18.76
10-11-2019_2200_213_0,1,208,141,208,144,3.3130054548278056,13.711750606883959,213.0,0.0,421,141,40.06,6.33,421,144,39.94,6.34
11-11-2019_1500_213_0,1,201,195,198,198,4.305707620283385,15.696897444227115,213.0,0.0,414,195,37.9,6.19,411,198,37.78,6.09
17-09-2020_1300_639_0,1,139,211,132,209,7.773232522075842,22.723707250590945,639.0,0.0,778,211,37.36,19.07,771,209,37.44,18.83
18-09-2020_0500_639_0,1,192,190,185,192,7.009762049733465,25.62453939386999,639.0,0.0,831,190,38.24,21.14,824,192,38.15,20.86
15-09-2020_0500_639_196,1,68,134,68,132,2.06133339642714,7.972201317344946,639.0,196.0,707,330,32.89,16.11,707,328,32.96,16.12
16-09-2020_1500_639_196,1,103,54,99,50,5.777208994755564,19.87239288508273,639.0,196.0,742,250,35.84,17.6,738,246,35.99,17.48
17-09-2020_0700_639_196,1,119,16,113,19,6.8896431661264055,24.377507804733256,639.0,196.0,758,212,37.31,18.35,752,215,37.19,18.12
17-09-2020_2300_639_196,1,173,4,168,4,4.9222596577583735,16.010639364896324,639.0,196.0,812,200,37.82,20.37,807,200,37.82,20.19
14-12-2020_0300_852_196,1,78,44,81,46,4.025219468178256,11.629817765498146,852.0,196.0,930,240,36.39,24.37,933,242,36.32,24.47
14-12-2020_1900_852_196,1,188,95,189,98,2.721907623269124,12.281147419753005,852.0,196.0,1040,291,34.6,27.94,1041,294,34.49,27.95
15-12-2020_1000_1065_196,1,106,119,101,116,5.723850899355569,18.298348242408803,1065.0,196.0,1171,315,33.91,32.59,1166,312,34.01,32.44
16-12-2020_0800_1065_196,1,161,105,159,107,2.997380088728517,13.240288618539523,1065.0,196.0,1226,301,34.54,34.93,1224,303,34.46,34.82
26-12-2020_0500_426_0,1,97,110,98,110,0.6732242065149991,3.1273947237275666,426.0,0.0,523,110,41.35,10.09,524,110,41.35,10.12
28-10-2021_1300_639_196,1,57,61,58,64,3.353119802694014,12.636612512297432,639.0,196.0,696,257,35.56,15.97,697,260,35.44,16.0
29-10-2021_0500_639_196,1,64,47,63,44,3.545046246909778,12.77840656763823,639.0,196.0,703,243,36.09,16.27,702,240,36.2,16.24
29-10-2021_2100_639_196,1,65,37,62,37,3.1961593864705224,9.409702692178517,639.0,196.0,704,233,36.47,16.34,701,233,36.47,16.23
08-11-2021_2000_426_0,1,13,183,11,181,2.2484237474728035,10.992257673366153,426.0,0.0,439,183,38.37,7.06,437,181,38.45,6.99
28-02-2023_0300_213_0,1,166,144,165,144,1.3414950400035395,3.137206477088836,213.0,0.0,379,144,39.96,4.8,378,144,39.96,4.76
28-02-2023_1900_213_0,1,208,177,210,181,4.6234795270117885,19.04047240164325,213.0,0.0,421,177,38.61,6.41,423,181,38.45,6.48
01-03-2023_1100_426_0,1,101,159,102,156,3.5963378309933254,13.898142617519161,426.0,0.0,527,159,39.32,10.21,528,156,39.44,10.25
02-03-2023_0300_426_0,1,122,135,122,131,3.9858094861118616,18.423083188119445,426.0,0.0,548,135,40.3,11.0,548,131,40.47,11.0
05-09-2023_1100_639_196,1,142,38,140,38,2.0113171487347774,6.345707730461423,639.0,196.0,781,234,36.48,19.05,779,234,36.48,18.98
06-09-2023_0300_639_196,1,134,80,132,78,2.690519065981967,9.774401751494725,639.0,196.0,773,276,34.89,18.56,771,274,34.96,18.5
06-09-2023_1900_639_196,1,107,86,104,84,3.7338290122936706,11.811661521787132,639.0,196.0,746,282,34.65,17.6,743,280,34.72,17.51
07-09-2023_2100_639_196,1,147,91,148,92,1.4744319875392868,4.852839023691434,639.0,196.0,786,287,34.49,18.96,787,288,34.46,18.98
08-09-2023_1700_639_196,1,115,100,113,98,2.7613518767686815,9.729108739930393,639.0,196.0,754,296,34.14,17.82,752,294,34.21,17.76
09-09-2023_0900_639_196,1,135,134,132,133,3.1708707986304985,9.803924550174559,639.0,196.0,774,330,32.92,18.35,771,329,32.96,18.26
10-09-2023_0100_639_196,1,193,149,193,148,0.7581261374149769,3.9800624988223494,639.0,196.0,832,345,32.43,20.24,832,344,32.46,20.25
12-10-2010_2100_213_0,1,69,166,70,164,2.0917769686374377,9.186617203183507,213.0,0.0,282,166,39.11,1.33,283,164,39.19,1.35
13-10-2010_1300_213_0,1,142,210,140,207,3.3655758884803992,14.866644121062802,213.0,0.0,355,210,37.33,4.14,353,207,37.45,4.06
06-11-2011_1300_213_0,1,140,135,139,136,1.7624286585309292,5.346050511607762,213.0,0.0,353,135,40.34,3.8,352,136,40.3,3.77
07-11-2011_0500_213_0,1,179,150,180,152,2.428480687479921,9.797419178075573,213.0,0.0,392,150,39.71,5.29,393,152,39.62,5.33
07-11-2011_2100_213_0,1,180,119,181,120,1.2902945497243086,5.808115549161011,213.0,0.0,393,119,40.99,5.24,394,120,40.95,5.28
14-04-2012_0100_426_0,1,191,141,189,140,2.05340944369259,7.526139733488885,426.0,0.0,617,141,40.07,13.52,615,140,40.11,13.45
14-04-2012_1800_639_0,1,107,110,104,108,3.6879695060231987,12.50106707084711,639.0,0.0,746,110,41.45,18.51,743,108,41.53,18.41
19-11-2013_1400_426_0,1,25,140,23,150,10.502887108265039,45.78589100381989,426.0,0.0,451,140,40.1,7.43,449,150,39.69,7.37
20-11-2013_0600_426_0,1,214,66,216,68,2.2792830930569385,11.263071021903361,426.0,0.0,640,66,43.29,14.65,642,68,43.2,14.72
08-11-2014_0300_639_0,1,39,216,40,217,1.6683772048577519,5.097600939808716,639.0,0.0,678,216,37.11,15.49,679,217,37.07,15.52
08-11-2014_0400_639_196,1,47,21,41,21,5.577308947407069,18.79997958308302,639.0,196.0,686,217,37.07,15.77,680,217,37.07,15.55
30-11-2014_1800_213_0,1,87,165,87,164,1.4739509713098191,4.511232110008757,213.0,0.0,300,165,39.14,1.98,300,164,39.18,1.98
01-12-2014_1600_213_0,1,172,161,171,160,1.470377573359277,5.6597626709629925,213.0,0.0,385,161,39.26,5.07,384,160,39.3,5.03
02-12-2014_2000_426_0,1,115,140,116,138,2.438656114201635,9.734962752542293,426.0,0.0,541,140,40.1,10.73,542,138,40.18,10.77
01-10-2015_1000_426_0,1,33,161,33,161,0.2218933026771927,0.0,426.0,0.0,459,161,39.24,7.75,459,161,39.24,7.75
29-02-2016_0600_426_0,1,47,99,51,100,4.100304653867426,13.486394299330643,426.0,0.0,473,99,41.82,8.2,477,100,41.77,8.35
29-02-2016_2200_426_0,1,115,115,112,112,4.434137911824357,16.764528020390493,426.0,0.0,541,115,41.14,10.76,538,112,41.26,10.65
28-10-2016_1300_639_196,1,83,38,86,38,3.26424301471565,9.434781106985648,639.0,196.0,722,234,36.44,16.97,725,234,36.44,17.07
29-10-2016_0500_639_196,1,63,68,64,66,2.0321112682221307,9.17121242049713,639.0,196.0,702,264,35.3,16.16,703,262,35.37,16.2
29-10-2016_2100_639_196,1,70,62,68,63,1.6783112672576594,7.8629129051276845,639.0,196.0,709,258,35.53,16.42,707,259,35.49,16.35
30-10-2016_1300_639_196,1,126,52,123,52,2.9890054994428916,9.479591310211822,639.0,196.0,765,248,35.93,18.41,762,248,35.93,18.31
17-11-2017_0200_639_0,1,111,182,110,178,4.101010499889106,17.712887992697173,639.0,0.0,750,182,38.49,18.22,749,178,38.64,18.21
17-11-2017_1800_639_0,1,113,166,109,166,3.5405745986809456,12.711842207072271,639.0,0.0,752,166,39.13,18.38,748,166,39.13,18.24
18-11-2017_1000_639_0,1,127,162,125,166,4.147889247245205,20.075845618755473,639.0,0.0,766,162,39.3,18.92,764,166,39.14,18.83
10-11-2019_2300_213_0,1,206,140,206,146,6.314523727957076,27.412772647162335,213.0,0.0,419,140,40.11,6.26,419,146,39.86,6.27
11-11-2019_1600_213_0,1,202,196,200,201,5.273837622015254,22.35459580855856,213.0,0.0,415,196,37.86,6.23,413,201,37.66,6.17
17-09-2020_1400_639_0,1,141,210,135,208,6.698263971550118,19.82074548134031,639.0,0.0,780,210,37.4,19.15,774,208,37.48,18.94
18-09-2020_0600_639_0,1,187,192,186,191,1.3788953783569835,5.023762357136423,639.0,0.0,826,192,38.15,20.94,825,191,38.19,20.91
15-09-2020_0600_639_196,1,61,129,61,130,0.9376131269192072,3.9935497170979706,639.0,196.0,700,325,33.07,15.89,700,326,33.03,15.89
16-09-2020_1600_639_196,1,99,45,98,46,1.6850194350512178,5.565841264801086,639.0,196.0,738,241,36.18,17.5,737,242,36.14,17.46
17-09-2020_0800_639_196,1,115,17,115,18,0.7296386423662528,4.341369910544826,639.0,196.0,754,213,37.27,18.2,754,214,37.23,18.19
18-09-2020_0000_639_196,1,175,2,171,3,4.410629428690244,14.2236486637935,639.0,196.0,814,198,37.9,20.46,810,199,37.86,20.3
14-12-2020_0400_852_196,1,86,43,86,47,4.15653760249428,17.3495186274132,852.0,196.0,938,239,36.44,24.68,938,243,36.28,24.64
14-12-2020_2000_852_196,1,207,109,203,105,5.838773442946735,18.673230149194836,852.0,196.0,1059,305,34.11,28.5,1055,301,34.25,28.39
15-12-2020_1100_1065_196,1,111,111,108,114,3.9297166716254095,19.19244338859193,1065.0,196.0,1176,307,34.22,32.89,1173,310,34.1,32.73
16-12-2020_0900_1065_196,1,160,109,161,107,2.1348659275675317,10.597082227102275,1065.0,196.0,1225,305,34.38,34.83,1226,303,34.46,34.9
26-12-2020_0600_426_0,1,103,115,103,114,1.0597851009254289,4.687109580297927,426.0,0.0,529,115,41.14,10.31,529,114,41.18,10.31
28-10-2021_1400_639_196,1,56,64,59,70,6.875256139960177,25.876567884628518,639.0,196.0,695,260,35.44,15.93,698,266,35.22,16.01
29-10-2021_0600_639_196,1,62,44,63,44,0.8880104072515523,3.134501214774672,639.0,196.0,701,240,36.2,16.21,702,240,36.2,16.24
29-10-2021_2200_639_196,1,68,35,69,37,2.3422887660869107,8.784532474931487,639.0,196.0,707,231,36.55,16.45,708,233,36.47,16.48
08-11-2021_2100_426_0,1,14,184,11,181,4.535911116390647,16.481139214976633,426.0,0.0,440,184,38.33,7.1,437,181,38.45,6.99
28-02-2023_0400_213_0,1,162,144,165,144,2.8522589485027545,9.413364570205195,213.0,0.0,375,144,39.96,4.65,378,144,39.96,4.76
28-02-2023_2000_426_0,1,14,184,11,181,4.186168173791325,16.481139214976633,426.0,0.0,440,184,38.33,7.1,437,181,38.45,6.99
01-03-2023_1200_426_0,1,111,146,109,149,3.816278423349766,15.083680728667535,426.0,0.0,537,146,39.85,10.58,535,149,39.73,10.51
02-03-2023_0400_426_0,1,123,132,122,131,1.9150756300563674,5.507710068013487,426.0,0.0,549,132,40.43,11.04,548,131,40.47,11.0
05-09-2023_1200_639_196,1,145,47,141,45,4.1391879906343,14.272569295210019,639.0,196.0,784,243,36.14,19.11,780,241,36.21,18.98
06-09-2023_0400_639_196,1,134,87,133,85,2.766231732187032,8.464599625790392,639.0,196.0,773,283,34.63,18.53,772,281,34.71,18.5
06-09-2023_2000_639_196,1,106,90,105,91,1.4230788167600172,5.440409122525869,639.0,196.0,745,286,34.5,17.55,744,287,34.47,17.51
07-09-2023_2200_639_196,1,157,99,157,99,0.3380790262553024,0.0,639.0,196.0,796,295,34.21,19.26,796,295,34.21,19.26
08-09-2023_1800_639_196,1,108,110,106,105,5.605099865904466,20.592649138643406,639.0,196.0,747,306,33.77,17.54,745,301,33.96,17.49
09-09-2023_1000_639_196,1,139,136,139,133,2.545010688533712,11.997396588562822,639.0,196.0,778,332,32.86,18.48,778,329,32.96,18.49
10-09-2023_0200_639_196,1,193,147,193,148,0.5948646162810736,3.98254872797214,639.0,196.0,832,343,32.5,20.25,832,344,32.46,20.25
12-10-2010_2200_213_0,1,70,167,67,168,3.5111141886479524,9.9930936191714,213.0,0.0,283,167,39.07,1.37,280,168,39.04,1.26
13-10-2010_0900_213_196,1,107,7,103,3,5.529861736825548,22.520255113223882,213.0,196.0,320,203,37.62,2.87,316,199,37.78,2.71
06-11-2011_1400_213_0,1,137,135,137,139,4.193274965978048,18.439975706662562,213.0,0.0,350,135,40.34,3.69,350,139,40.18,3.71
07-11-2011_0600_213_0,1,183,146,183,150,4.472952654701717,18.208137920891694,213.0,0.0,396,146,39.87,5.43,396,150,39.7,5.44
07-11-2011_2200_213_0,1,179,121,180,119,2.4316200669599253,9.655134472305903,213.0,0.0,392,121,40.91,5.21,393,119,40.99,5.24
14-04-2012_0200_426_0,1,195,139,195,139,0.5699326335245807,0.0,426.0,0.0,621,139,40.16,13.68,621,139,40.16,13.68
14-04-2012_1900_639_0,1,102,106,102,105,1.0244794080448691,4.786461245878558,639.0,0.0,741,106,41.61,18.34,741,105,41.65,18.35
19-11-2013_1500_426_0,1,38,142,35,149,7.588182690746405,32.98670214863252,426.0,0.0,464,142,40.01,7.91,461,149,39.73,7.81
20-11-2013_0600_639_0,1,9,64,3,68,6.955624224743497,28.647434124174122,639.0,0.0,648,64,43.38,14.97,642,68,43.2,14.72
08-11-2014_0400_639_0,1,41,217,41,217,0.42799408954569457,0.0,639.0,0.0,680,217,37.07,15.55,680,217,37.07,15.55
08-11-2014_0500_639_196,1,40,24,41,22,1.7342276489988913,9.409490375612606,639.0,196.0,679,220,36.95,15.51,680,218,37.03,15.55
30-11-2014_1900_213_0,1,93,163,92,162,1.4570920839989865,5.798656651779416,213.0,0.0,306,163,39.22,2.19,305,162,39.26,2.15
01-12-2014_1700_213_0,1,179,160,177,161,2.4606341087943258,7.467391487145195,213.0,0.0,392,160,39.3,5.32,390,161,39.26,5.25
02-12-2014_2100_426_0,1,118,138,120,136,2.600351147775435,11.212137770125869,426.0,0.0,544,138,40.18,10.85,546,136,40.26,10.92
01-10-2015_1100_426_0,1,37,157,38,160,3.2773058276773885,13.930912857817814,426.0,0.0,463,157,39.4,7.89,464,160,39.28,7.93
29-02-2016_0700_426_0,1,53,100,53,99,1.3299305220829822,4.758216341259075,426.0,0.0,479,100,41.77,8.43,479,99,41.82,8.43
29-02-2016_2300_426_0,1,117,114,116,113,0.9475627917874229,5.583617438823878,426.0,0.0,543,114,41.18,10.83,542,113,41.22,10.79
28-10-2016_1400_639_196,1,84,36,85,42,5.630558586257423,25.40349681554166,639.0,196.0,723,232,36.52,17.01,724,238,36.29,17.02
29-10-2016_0600_639_196,1,61,67,62,67,0.5834462982666027,3.1282420793769043,639.0,196.0,700,263,35.33,16.09,701,263,35.33,16.13
29-10-2016_2200_639_196,1,71,63,69,62,2.4638870718204324,7.1837410449193975,639.0,196.0,710,259,35.49,16.45,708,258,35.52,16.38
30-10-2016_1400_639_196,1,132,51,127,52,5.1115817174675735,16.890617980858952,639.0,196.0,771,247,35.98,18.63,766,248,35.94,18.45
17-11-2017_0300_639_0,1,109,177,108,177,0.7576713322991745,3.1728952881599435,639.0,0.0,748,177,38.68,18.17,747,177,38.68,18.14
17-11-2017_1900_639_0,1,111,168,110,167,1.9099897028518844,5.155129511573543,639.0,0.0,750,168,39.05,18.3,749,167,39.09,18.27
18-11-2017_1100_639_0,1,126,168,127,167,1.6194155964158712,5.894311770628242,639.0,0.0,765,168,39.06,18.85,766,167,39.1,18.89
11-11-2019_0000_213_0,1,204,142,205,148,6.520351698933942,27.7023453462686,213.0,0.0,417,142,40.02,6.19,418,148,39.78,6.24
11-11-2019_1700_213_0,1,201,198,202,204,5.986993573872788,26.417549761848832,213.0,0.0,414,198,37.78,6.2,415,204,37.55,6.24
17-09-2020_1500_639_0,1,143,209,140,208,3.0663421923330674,9.908763716260335,639.0,0.0,782,209,37.45,19.23,779,208,37.48,19.12
18-09-2020_0700_639_0,1,187,189,185,189,2.0076595118348854,6.433744344292556,639.0,0.0,826,189,38.27,20.96,824,189,38.27,20.88
15-09-2020_0700_639_196,1,49,129,54,130,5.17051517322574,15.744730646729343,639.0,196.0,688,325,33.06,15.49,693,326,33.03,15.65
16-09-2020_1700_639_196,1,98,39,97,42,2.8228054408359546,13.503584715674528,639.0,196.0,737,235,36.41,17.49,736,238,36.3,17.44
17-09-2020_0900_639_196,1,116,13,119,16,4.191492919836789,15.114222532872631,639.0,196.0,755,209,37.43,18.26,758,212,37.31,18.35
18-09-2020_0100_639_196,1,174,2,174,2,0.2919280084747585,0.0,639.0,196.0,813,198,37.9,20.42,813,198,37.9,20.42
14-12-2020_0500_852_196,1,87,47,91,48,3.962512832114478,12.919938266692778,852.0,196.0,939,243,36.29,24.68,943,244,36.25,24.82
14-12-2020_2100_852_196,1,211,109,215,108,4.315844435783724,15.250380010252352,852.0,196.0,1063,305,34.11,28.65,1067,304,34.16,28.81
